,GW,element,web_name,element_type,team,team_name,team_code,now_cost,total_points
2070,23,488,Joselu,4,13,Newcastle,4,55,7
2113,23,255,Sané,3,11,Man City,43,87,7
2176,23,356,van der Hoorn,2,16,Swansea,80,44,7
2266,23,230,Mané,3,10,Liverpool,14,94,7
1783,23,541,Dragovic,2,9,Leicester,13,49,6
1802,23,92,Gray,4,18,Watford,57,63,6
1813,23,103,Rüdiger,2,5,Chelsea,8,58,6
1826,23,388,Alli,3,17,Spurs,6,90,6
1831,23,381,Davies,2,17,Spurs,6,58,6
1839,23,256,Bernardo Silva,3,11,Man City,43,72,6
1867,23,434,Brunt,3,19,West Brom,35,50,6
1869,23,263,Smalling,2,12,Man Utd,1,57,6
1911,23,520,Sánchez,2,17,Spurs,6,60,6
1942,23,384,Dier,3,17,Spurs,6,47,6
1986,23,198,Maguire,2,9,Leicester,13,55,6
1993,23,375,Lloris,1,17,Spurs,6,55,6
2010,23,482,Riedewald,2,6,Crystal Palace,31,46,6
2021,23,117,Tomkins,2,6,Crystal Palace,31,44,6
2026,23,380,Vertonghen,2,17,Spurs,6,61,6
2095,23,8,Gibbs,2,19,West Brom,35,50,6
2123,23,265,Shaw,2,12,Man Utd,1,48,6
2145,23,120,Kelly,2,6,Crystal Palace,31,41,6
2220,23,124,van Aanholt,2,6,Crystal Palace,31,52,6
2235,23,264,Jones,2,12,Man Utd,1,55,6
2316,23,94,Courtois,1,5,Chelsea,8,53,6
2336,23,102,Moses,2,5,Chelsea,8,65,6
1765,23,172,Mooy,3,8,Huddersfield,38,52,5
1788,23,21,Iwobi,3,1,Arsenal,3,51,5
1824,23,302,Pérez,4,13,Newcastle,4,55,5
1860,23,451,Kouyaté,3,20,West Ham,21,50,5
1862,23,134,Benteke,4,6,Crystal Palace,31,75,5
1904,23,404,Janmaat,2,18,Watford,57,48,5
2033,23,437,Rodriguez,4,19,West Brom,35,54,5
2259,23,285,Lukaku,4,12,Man Utd,1,115,5
2264,23,47,Fraser,3,2,Bournemouth,91,51,5
2287,23,257,Agüero,4,11,Man City,43,115,5
1927,23,318,Tadic,3,14,Southampton,20,62,4
1829,23,196,Chilwell,2,9,Leicester,13,44,3
1890,23,204,Amartey,3,9,Leicester,13,43,3
1964,23,151,Barry,3,19,West Brom,35,44,3
1979,23,533,Krychowiak,3,19,West Brom,35,47,3
2002,23,328,Butland,1,15,Stoke,110,50,3
2015,23,127,McArthur,3,6,Crystal Palace,31,44,3
2080,23,274,Mata,3,12,Man Utd,1,68,3
2103,23,379,Walker,2,11,Man City,43,66,3
2121,23,350,Fabianski,1,16,Swansea,80,47,3
2122,23,132,Milivojevic,3,6,Crystal Palace,31,52,3
2134,23,200,Albrighton,3,9,Leicester,13,55,3
2159,23,432,Phillips,3,19,West Brom,35,54,3
2200,23,107,Matic,3,12,Man Utd,1,47,3
2248,23,199,Mahrez,3,9,Leicester,13,87,3
2318,23,463,Bakayoko,3,5,Chelsea,8,49,3
2346,23,206,Ndidi,3,9,Leicester,13,49,3
2348,23,126,Zaha,3,6,Crystal Palace,31,71,3
1774,23,35,Adam Smith,2,2,Bournemouth,91,48,2
1778,23,438,Adrián,1,20,West Ham,21,40,2
1786,23,28,Lacazette,4,1,Arsenal,3,103,2
1805,23,527,Carrillo,3,18,Watford,57,54,2
1810,23,62,Knockaert,3,3,Brighton,36,55,2
1817,23,93,Barnes,4,4,Burnley,90,53,2
1822,23,29,Begovic,1,2,Bournemouth,91,45,2
1835,23,77,Mee,2,4,Burnley,90,49,2
1861,23,300,Atsu,3,13,Newcastle,4,48,2
1872,23,289,Clark,2,13,Newcastle,4,43,2
1887,23,63,Stephens,3,3,Brighton,36,45,2
1902,23,346,Fletcher,3,15,Stoke,110,47,2
1913,23,490,Pröpper,3,3,Brighton,36,53,2
1914,23,288,Yedlin,2,13,Newcastle,4,45,2
1938,23,227,Can,3,10,Liverpool,14,49,2
1940,23,497,Choupo-Moting,3,15,Stoke,110,52,2
1971,23,232,Wijnaldum,3,10,Liverpool,14,66,2
1973,23,71,Murray,4,3,Brighton,36,59,2
1980,23,359,Sigurdsson,3,7,Everton,11,80,2
1996,23,155,Gueye,3,7,Everton,11,48,2
2004,23,90,Cork,3,4,Burnley,90,45,2
2013,23,290,Lascelles,2,13,Newcastle,4,49,2
2014,23,441,Collins,2,20,West Ham,21,43,2
2024,23,209,Vardy,4,9,Leicester,13,88,2
2036,23,86,Hendrick,3,4,Burnley,90,54,2
2040,23,279,Lingard,3,12,Man Utd,1,60,2
2049,23,337,Allen,3,15,Stoke,110,51,2
2053,23,84,Gudmundsson,3,4,Burnley,90,50,2
2057,23,174,Hogg,3,8,Huddersfield,38,44,2
